cell_name	pin_name	point_x	point_y	point_bucket20	point_inside_hotspot	nearest_error_id	nearest_type	nearest_layer	nearest_cx	nearest_cy	nearest_bucket20	nearest_inside_hotspot	distance_um
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][4]	Q	259.7040	216.6880	240-260,200-220	yes	186	Needs fat contact	M1 (11)-M2 (13)	260.7680	223.0720	260-280,220-240	yes	6.4721
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][10]	Q	259.7040	211.2160	240-260,200-220	yes	186	Needs fat contact	M1 (11)-M2 (13)	260.7680	223.0720	260-280,220-240	yes	11.9036
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][11]	SE	260.3120	214.9825	260-280,200-220	yes	186	Needs fat contact	M1 (11)-M2 (13)	260.7680	223.0720	260-280,220-240	yes	8.1023
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][11]	SE	260.3120	215.0160	260-280,200-220	yes	186	Needs fat contact	M1 (11)-M2 (13)	260.7680	223.0720	260-280,220-240	yes	8.0689
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][11]	SE	260.3120	214.9992	260-280,200-220	yes	186	Needs fat contact	M1 (11)-M2 (13)	260.7680	223.0720	260-280,220-240	yes	8.0857
u_core/core_i/ex_stage_i/alu_i/alu_div_i/AReg_DP_reg[24]	SI	259.7040	253.7385	240-260,240-260	yes	274	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	4.3186
u_core/core_i/ex_stage_i/alu_i/alu_div_i/AReg_DP_reg[24]	SI	259.7040	253.7760	240-260,240-260	yes	274	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	4.3526
u_core/core_i/ex_stage_i/alu_i/alu_div_i/AReg_DP_reg[24]	SI	259.7040	253.7572	240-260,240-260	yes	274	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	4.3356
u_core/core_i/ex_stage_i/alu_i/alu_div_i/AReg_DP_reg[24]	CLK	260.3120	253.9080	260-280,240-260	yes	274	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	4.7533
u_core/core_i/ex_stage_i/alu_i/alu_div_i/AReg_DP_reg[24]	CLK	260.3120	253.9280	260-280,240-260	yes	274	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	4.7705
u_core/core_i/ex_stage_i/alu_i/alu_div_i/AReg_DP_reg[24]	CLK	260.3120	253.9180	260-280,240-260	yes	274	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	4.7619
